sex,race,age,reincarcerated,state
Male,White,43.6,TRUE,Iowa
Male,White,35.9,TRUE,Iowa
Male,White,55.4,FALSE,Iowa
Male,Black,34.2,FALSE,Iowa
Male,Black,40.6,FALSE,Iowa
Male,Black,34.2,FALSE,Iowa
Male,White,24.4,FALSE,Iowa
Female,White,19.9,FALSE,Iowa
Male,American Indian or Alaska Native,21.3,TRUE,Iowa
Female,Asian or Pacific Islander,24.4,FALSE,Iowa
Male,White,25.3,FALSE,Iowa
Female,White,30.3,FALSE,Iowa
Male,White,28.3,FALSE,Iowa
Male,White,35.2,TRUE,Iowa
Male,White,36.2,FALSE,Iowa
Male,White,24.9,FALSE,Iowa
Female,Black,28.2,FALSE,Iowa
Male,White,23.1,FALSE,Iowa
Female,White,29.3,FALSE,Iowa
Male,White,23.2,FALSE,Iowa
Male,White,26.2,TRUE,Iowa
Male,White,25.8,FALSE,Iowa
Male,White,24,FALSE,Iowa
Female,White,47.1,TRUE,Iowa
Male,Black,19.2,TRUE,Iowa
Male,Black,26.7,FALSE,Iowa
Female,American Indian or Alaska Native,57.3,FALSE,Iowa
Female,White,23.2,FALSE,Iowa
Female,White,56.3,FALSE,Iowa
Male,White,33.5,TRUE,Iowa
Female,White,33,TRUE,Iowa
Female,White,30.1,FALSE,Iowa
Male,White,19.9,FALSE,Iowa
Male,Black,43.7,FALSE,Iowa
Female,White,24.3,FALSE,Iowa
Male,White,31.9,FALSE,Iowa
Male,White,59.9,FALSE,Iowa
Male,Black,35.7,TRUE,Iowa
Male,White,24.9,FALSE,Iowa
Male,White,19.7,FALSE,Iowa
Female,Black,19.9,TRUE,Iowa
Male,Hispanic,40.8,FALSE,Iowa
Female,White,31.3,TRUE,Iowa
Male,Black,24.3,FALSE,Iowa
Male,White,25.2,FALSE,Iowa
Male,White,24.2,FALSE,Iowa
Male,White,24.3,FALSE,Iowa
Female,White,18.4,FALSE,Iowa
Male,White,37.5,FALSE,Iowa
Male,White,19.7,FALSE,Iowa
Male,White,21.6,FALSE,Iowa
Female,White,39.7,FALSE,Iowa
Male,Black,23.1,FALSE,Iowa
Female,White,36.2,FALSE,Iowa
Male,White,53.3,FALSE,Iowa
Male,White,54.1,FALSE,Iowa
Male,Black,30,TRUE,Iowa
Female,Hispanic,23.9,FALSE,Iowa
Male,White,19.8,FALSE,Iowa
Female,American Indian or Alaska Native,54.2,FALSE,Iowa
Male,White,51.7,FALSE,Iowa
Male,Black,59.1,TRUE,Iowa
Male,White,50.9,TRUE,Iowa
Male,Hispanic,55.4,FALSE,Iowa
Male,White,42.2,FALSE,Iowa
Male,White,43.9,FALSE,Iowa
Male,White,38.2,TRUE,Iowa
Male,Black,45.2,FALSE,Iowa
Male,Black,40.9,FALSE,Iowa
Female,White,47.5,FALSE,Iowa
Male,White,40.3,FALSE,Iowa
Male,White,33.8,TRUE,Iowa
Male,White,33,FALSE,Iowa
Male,White,18.7,FALSE,Iowa
Male,Black,31.1,FALSE,Iowa
Male,White,39.7,FALSE,Iowa
Female,Asian or Pacific Islander,24,FALSE,Iowa
Female,White,44.4,FALSE,Iowa
Male,White,25.1,FALSE,Iowa
Male,White,32.2,FALSE,Iowa
Female,White,51.8,TRUE,Iowa
Male,White,31.8,FALSE,Iowa
Male,White,25.1,FALSE,Iowa
Female,White,29.5,FALSE,Iowa
Female,White,19.1,FALSE,Iowa
Male,White,27.5,FALSE,Iowa
Female,White,33.3,FALSE,Iowa
Male,White,34.7,FALSE,Iowa
Female,White,28.7,FALSE,Iowa
Female,White,43.6,FALSE,Iowa
Male,White,37.9,FALSE,Iowa
Male,White,34,TRUE,Iowa
Male,White,22.2,TRUE,Iowa
Female,White,55.4,FALSE,Iowa
Female,Black,29.2,FALSE,Iowa
Male,White,23.1,FALSE,Iowa
Female,White,23.1,TRUE,Iowa
Female,White,55,FALSE,Iowa
Male,White,25.2,FALSE,Iowa
Male,White,19.3,FALSE,Iowa
Female,White,30.9,FALSE,Iowa
Male,Other,24.4,FALSE,Iowa
Male,White,24.6,FALSE,Iowa
Male,White,18.7,FALSE,Iowa
Male,White,44.9,TRUE,Iowa
Female,Black,26.2,TRUE,Iowa
Male,Black,19.2,FALSE,Iowa
Female,White,21.4,FALSE,Iowa
Male,White,20.9,TRUE,Iowa
Male,White,19.1,TRUE,Iowa
Female,White,21.7,FALSE,Iowa
Male,White,30.1,FALSE,Iowa
Male,Black,26.4,FALSE,Iowa
Male,White,45.8,FALSE,Iowa
Male,White,22.4,TRUE,Iowa
Male,White,33.6,TRUE,Iowa
Male,White,39.4,FALSE,Iowa
Male,White,18.9,FALSE,Iowa
Male,White,40.8,TRUE,Iowa
Male,White,21.6,FALSE,Iowa
Male,Black,34.1,FALSE,Iowa
Male,Black,30.7,TRUE,Iowa
Male,Black,21.1,FALSE,Iowa
Male,White,53.1,FALSE,Iowa
Female,White,20.6,FALSE,Iowa
Male,White,38.8,FALSE,Iowa
Male,White,25.9,FALSE,Iowa
Female,White,26.1,FALSE,Iowa
Male,Black,25.9,FALSE,Iowa
